#STARTTIME            STOPTIME             OBSID          X1     X2     Y1     Y2
2013-07-17 23:31:07  2013-07-18 00:31:07  4204000005    234    468   -381   -199
2013-07-18 09:01:07  2013-07-18 09:13:07  4204000003   -609   -375    209    391
2013-07-18 09:15:54  2013-07-18 10:55:53  4202100002   -578   -405    210    392
2013-07-18 10:58:07  2013-07-18 11:22:07  4204000005   -609   -375    209    391
2013-07-18 12:01:07  2013-07-18 12:25:07  4204000005   -609   -375    209    391
2013-07-18 13:11:07  2013-07-18 13:35:07  4204000005   -609   -375    209    391
2013-07-18 14:24:08  2013-07-18 14:48:07  4204000005   -609   -375    209    391
2013-07-18 16:36:07  2013-07-18 16:42:07  4204000003  -1045   -811    -74    108
2013-07-18 17:46:07  2013-07-18 17:58:07  4204000005    -80    154  -1037   -855
2013-07-18 18:23:07  2013-07-18 18:29:07  4204000003    -80    154  -1037   -855
2013-07-18 19:30:08  2013-07-18 19:42:07  4204000003    -80    154  -1037   -855
2013-07-18 21:16:08  2013-07-18 21:28:07  4204000003  -1008   -774   -260    -78
2013-07-18 21:30:14  2013-07-18 21:42:13  4191006128   -971   -812   -233   -105
2013-07-18 22:29:13  2013-07-18 23:19:12  4203300002   -978   -804   -260    -78
2013-07-19 00:41:08  2013-07-19 00:53:07  4204000003    358    592    230    412
2013-07-19 02:21:08  2013-07-19 02:33:07  4204000003   -403   -169    194    376
2013-07-19 02:45:13  2013-07-19 03:35:12  4203300002   -373   -199    194    376
2013-07-19 04:01:54  2013-07-19 04:06:39  4200000032   -373   -201    195    377
2013-07-19 05:49:15  2013-07-19 10:37:14  4204000005   -350   -116    191    373
2013-07-19 12:01:13  2013-07-19 13:41:12  4203300002   -283   -109    175    357
2013-07-19 19:37:15  2013-07-19 20:25:14  4204000003   -187     47    -72    110
2013-07-20 04:34:39  2013-07-20 05:07:49  4190262172   -267    -73    211    393
2013-07-20 05:11:08  2013-07-20 05:35:07  4011004138   -195    -20    217    399
2013-07-20 06:03:55  2013-07-20 06:27:54  4051004138   -243    -68    211    392
2013-07-20 06:29:38  2013-07-20 06:35:37  4190004138   -173      1    211    393
2013-07-20 06:46:08  2013-07-20 07:10:07  4204000005   -202     32    211    393
2013-07-20 10:54:05  2013-07-20 16:18:04  4204000005   -126    108    197    379
2013-07-20 16:58:55  2013-07-20 17:04:54  4204000003    -71    163    197    379
2013-07-20 17:10:23  2013-07-20 17:34:22  4190004117    -40    132    197    379
2013-07-20 20:03:15  2013-07-20 20:16:02  4190004125    -75    223    197    379
2013-07-20 20:19:08  2013-07-20 20:31:07  4204000003    -35    199    191    373
2013-07-20 23:21:08  2013-07-21 00:01:07  4190004113    -74    238    191    373
2013-07-21 02:01:07  2013-07-21 02:13:07  4204000003    -35    199    191    373
2013-07-21 04:33:14  2013-07-21 07:33:14  4040004119     32    116    282    349
2013-07-21 07:37:44  2013-07-21 09:37:43  4000005615     71    131    285    353
2013-07-21 09:43:54  2013-07-21 09:50:18  4190004125    -27    271    178    360
2013-07-21 10:01:07  2013-07-21 10:13:07  4204000003      8    242    175    357
