#This data file was created by MATCH_IRIS_FOV_FLARE.PRO - P.Higgins
#The SSW LastEvents flares corresponding to each IRIS observation sequence.
#The OBSID corresponds to that in the IRIS_ALLOBS_HEK data file.
#To read this CSV file into IDL, run: IDL> readcol,'iris_allobs_hek_flares.txt',foundmatch,obsid,obstart,obsend,obsx1,obsx2,obsy1,obsy2,flareclass,flarepeak,flarestart,flareend,flarex,flarey,delim=';',comment='#',format='I,A,A,A,D,D,D,D,A,A,A,A,D,D'
#FORMAT; I,A,A,A,D,D,D,D,A,A,A,A,D,D
#FOUNDMATCH;OBSID;OBSTART;OBSEND;OBSX1;OBSX2;OBSY1;OBSY2;FLARECLASS;FLAREPEAK;FLARESTART;FLAREEND;FLAREX;FLAREY
      0;4204000005;17-Jul-2013 23:31:07.000;18-Jul-2013 00:31:07.000;    234.0000;    468.0000;   -381.0000;   -199.0000;;;;;      0.0000;      0.0000
      0;4204000003;18-Jul-2013 09:01:07.000;18-Jul-2013 09:13:07.000;   -609.0000;   -375.0000;    209.0000;    391.0000;;;;;      0.0000;      0.0000
      0;4202100002;18-Jul-2013 09:15:54.000;18-Jul-2013 10:55:53.000;   -578.0000;   -405.0000;    210.0000;    392.0000;;;;;      0.0000;      0.0000
      0;4204000005;18-Jul-2013 10:58:07.000;18-Jul-2013 11:22:07.000;   -609.0000;   -375.0000;    209.0000;    391.0000;;;;;      0.0000;      0.0000
      0;4204000005;18-Jul-2013 12:01:07.000;18-Jul-2013 12:25:07.000;   -609.0000;   -375.0000;    209.0000;    391.0000;;;;;      0.0000;      0.0000
      0;4204000005;18-Jul-2013 13:11:07.000;18-Jul-2013 13:35:07.000;   -609.0000;   -375.0000;    209.0000;    391.0000;;;;;      0.0000;      0.0000
      0;4204000005;18-Jul-2013 14:24:08.000;18-Jul-2013 14:48:07.000;   -609.0000;   -375.0000;    209.0000;    391.0000;;;;;      0.0000;      0.0000
      0;4204000003;18-Jul-2013 16:36:07.000;18-Jul-2013 16:42:07.000;  -1045.0000;   -811.0000;    -74.0000;    108.0000;;;;;      0.0000;      0.0000
      0;4204000005;18-Jul-2013 17:46:07.000;18-Jul-2013 17:58:07.000;    -80.0000;    154.0000;  -1037.0000;   -855.0000;;;;;      0.0000;      0.0000
      0;4204000003;18-Jul-2013 18:23:07.000;18-Jul-2013 18:29:07.000;    -80.0000;    154.0000;  -1037.0000;   -855.0000;;;;;      0.0000;      0.0000
      0;4204000003;18-Jul-2013 19:30:08.000;18-Jul-2013 19:42:07.000;    -80.0000;    154.0000;  -1037.0000;   -855.0000;;;;;      0.0000;      0.0000
      1;4204000003;18-Jul-2013 21:16:08.000;18-Jul-2013 21:28:07.000;  -1008.0000;   -774.0000;   -260.0000;    -78.0000;1095,2146,1165,1095,1165;19-Jul-2013 00:31:37.000,18-Jul-2013 18:32:19.000,19-Jul-2013 02:30:36.000,19-Jul-2013 00:31:37.000,19-Jul-2013 02:30:36.000;18-Jul-2013 17:56:49.000,18-Jul-2013 17:56:55.000,18-Jul-2013 19:49:24.000,18-Jul-2013 17:56:49.000,18-Jul-2013 19:49:24.000;19-Jul-2013 11:04:37.000,18-Jul-2013 21:49:19.000,19-Jul-2013 11:33:36.000,19-Jul-2013 11:04:37.000,19-Jul-2013 11:33:36.000;   -883.2000;   -268.8000
      1;4191006128;18-Jul-2013 21:30:14.000;18-Jul-2013 21:42:13.000;   -971.0000;   -812.0000;   -233.0000;   -105.0000;1095,2146,1165,1095,1165;19-Jul-2013 00:31:37.000,18-Jul-2013 18:32:19.000,19-Jul-2013 02:30:36.000,19-Jul-2013 00:31:37.000,19-Jul-2013 02:30:36.000;18-Jul-2013 17:56:49.000,18-Jul-2013 17:56:55.000,18-Jul-2013 19:49:24.000,18-Jul-2013 17:56:49.000,18-Jul-2013 19:49:24.000;19-Jul-2013 11:04:37.000,18-Jul-2013 21:49:19.000,19-Jul-2013 11:33:36.000,19-Jul-2013 11:04:37.000,19-Jul-2013 11:33:36.000;   -883.2000;   -268.8000
      1;4203300002;18-Jul-2013 22:29:13.000;18-Jul-2013 23:19:12.000;   -978.0000;   -804.0000;   -260.0000;    -78.0000;1095,1165,1095,1165;19-Jul-2013 00:31:37.000,19-Jul-2013 02:30:36.000,19-Jul-2013 00:31:37.000,19-Jul-2013 02:30:36.000;18-Jul-2013 17:56:49.000,18-Jul-2013 19:49:24.000,18-Jul-2013 17:56:49.000,18-Jul-2013 19:49:24.000;19-Jul-2013 11:04:37.000,19-Jul-2013 11:33:36.000,19-Jul-2013 11:04:37.000,19-Jul-2013 11:33:36.000;   -883.2000;   -268.8000
      0;4204000003;19-Jul-2013 00:41:08.000;19-Jul-2013 00:53:07.000;    358.0000;    592.0000;    230.0000;    412.0000;;;;;      0.0000;      0.0000
      0;4204000003;19-Jul-2013 02:21:08.000;19-Jul-2013 02:33:07.000;   -403.0000;   -169.0000;    194.0000;    376.0000;;;;;      0.0000;      0.0000
      0;4203300002;19-Jul-2013 02:45:13.000;19-Jul-2013 03:35:12.000;   -373.0000;   -199.0000;    194.0000;    376.0000;;;;;      0.0000;      0.0000
      0;4200000032;19-Jul-2013 04:01:54.000;19-Jul-2013 04:06:39.000;   -373.0000;   -201.0000;    195.0000;    377.0000;;;;;      0.0000;      0.0000
      1;4204000005;19-Jul-2013 05:49:15.000;19-Jul-2013 10:37:14.000;   -350.0000;   -116.0000;    191.0000;    373.0000;36,786,34;19-Jul-2013 05:54:58.000,19-Jul-2013 05:54:00.000,19-Jul-2013 07:35:58.000;19-Jul-2013 05:53:58.000,19-Jul-2013 05:54:00.000,19-Jul-2013 07:35:10.000;19-Jul-2013 06:01:10.000,19-Jul-2013 05:56:00.000,19-Jul-2013 07:38:46.000;   -345.6000;    268.8000
      0;4203300002;19-Jul-2013 12:01:13.000;19-Jul-2013 13:41:12.000;   -283.0000;   -109.0000;    175.0000;    357.0000;;;;;      0.0000;      0.0000
      0;4204000003;19-Jul-2013 19:37:15.000;19-Jul-2013 20:25:14.000;   -187.0000;     47.0000;    -72.0000;    110.0000;;;;;      0.0000;      0.0000
      0;4190262172;20-Jul-2013 04:34:39.000;20-Jul-2013 05:07:49.000;   -267.0000;    -73.0000;    211.0000;    393.0000;;;;;      0.0000;      0.0000
      0;4011004138;20-Jul-2013 05:11:08.000;20-Jul-2013 05:35:07.000;   -195.0000;    -20.0000;    217.0000;    399.0000;;;;;      0.0000;      0.0000
      0;4051004138;20-Jul-2013 06:03:55.000;20-Jul-2013 06:27:54.000;   -243.0000;    -68.0000;    211.0000;    392.0000;;;;;      0.0000;      0.0000
      0;4190004138;20-Jul-2013 06:29:38.000;20-Jul-2013 06:35:37.000;   -173.0000;      1.0000;    211.0000;    393.0000;;;;;      0.0000;      0.0000
      1;4204000005;20-Jul-2013 06:46:08.000;20-Jul-2013 07:10:07.000;   -202.0000;     32.0000;    211.0000;    393.0000;595;20-Jul-2013 06:43:07.000;20-Jul-2013 06:42:07.000;20-Jul-2013 06:46:19.000;    -38.4000;    192.0000
      1;4204000005;20-Jul-2013 10:54:05.000;20-Jul-2013 16:18:04.000;   -126.0000;    108.0000;    197.0000;    379.0000;25,25,28,27;20-Jul-2013 11:54:46.000,20-Jul-2013 14:53:58.000,20-Jul-2013 15:21:22.000,20-Jul-2013 16:13:58.000;20-Jul-2013 11:51:34.000,20-Jul-2013 14:52:10.000,20-Jul-2013 15:20:10.000,20-Jul-2013 16:13:22.000;20-Jul-2013 11:55:58.000,20-Jul-2013 14:54:34.000,20-Jul-2013 15:22:10.000,20-Jul-2013 16:16:34.000;    -38.4000;    192.0000
      0;4204000003;20-Jul-2013 16:58:55.000;20-Jul-2013 17:04:54.000;    -71.0000;    163.0000;    197.0000;    379.0000;;;;;      0.0000;      0.0000
      1;4190004117;20-Jul-2013 17:10:23.000;20-Jul-2013 17:34:22.000;    -40.0000;    132.0000;    197.0000;    379.0000;36;20-Jul-2013 17:13:34.000;20-Jul-2013 17:11:22.000;20-Jul-2013 17:17:22.000;    -38.4000;    268.8000
      0;4190004125;20-Jul-2013 20:03:15.000;20-Jul-2013 20:16:02.000;    -75.0000;    223.0000;    197.0000;    379.0000;;;;;      0.0000;      0.0000
      0;4204000003;20-Jul-2013 20:19:08.000;20-Jul-2013 20:31:07.000;    -35.0000;    199.0000;    191.0000;    373.0000;;;;;      0.0000;      0.0000
      1;4190004113;20-Jul-2013 23:21:08.000;21-Jul-2013 00:01:07.000;    -74.0000;    238.0000;    191.0000;    373.0000;30,70,1019,558;20-Jul-2013 23:27:34.000,20-Jul-2013 23:38:10.000,20-Jul-2013 23:44:43.000,20-Jul-2013 23:42:48.000;20-Jul-2013 23:26:34.000,20-Jul-2013 23:33:58.000,20-Jul-2013 23:42:31.000,20-Jul-2013 23:42:36.000;20-Jul-2013 23:29:34.000,20-Jul-2013 23:43:58.000,20-Jul-2013 23:46:31.000,20-Jul-2013 23:46:36.000;    115.2000;    268.8000
      0;4204000003;21-Jul-2013 02:01:07.000;21-Jul-2013 02:13:07.000;    -35.0000;    199.0000;    191.0000;    373.0000;;;;;      0.0000;      0.0000
      1;4040004119;21-Jul-2013 04:33:14.000;21-Jul-2013 07:33:14.000;     32.0000;    116.0000;    282.0000;    349.0000;34,68,765,1059,436;21-Jul-2013 05:28:34.000,21-Jul-2013 06:44:46.000,21-Jul-2013 06:44:12.000,21-Jul-2013 06:43:55.000,21-Jul-2013 06:44:13.000;21-Jul-2013 05:27:22.000,21-Jul-2013 06:40:34.000,21-Jul-2013 06:43:12.000,21-Jul-2013 06:43:19.000,21-Jul-2013 06:43:25.000;21-Jul-2013 05:30:46.000,21-Jul-2013 06:49:58.000,21-Jul-2013 06:49:24.000,21-Jul-2013 06:48:31.000,21-Jul-2013 06:48:37.000;    115.2000;    268.8000
      1;4000005615;21-Jul-2013 07:37:44.000;21-Jul-2013 09:37:43.000;     71.0000;    131.0000;    285.0000;    353.0000;27,40;21-Jul-2013 08:07:22.000,21-Jul-2013 08:27:34.000;21-Jul-2013 08:06:10.000,21-Jul-2013 08:25:58.000;21-Jul-2013 08:09:34.000,21-Jul-2013 08:33:22.000;    115.2000;    268.8000
      0;4190004125;21-Jul-2013 09:43:54.000;21-Jul-2013 09:50:18.000;    -27.0000;    271.0000;    178.0000;    360.0000;;;;;      0.0000;      0.0000
      0;4204000003;21-Jul-2013 10:01:07.000;21-Jul-2013 10:13:07.000;      8.0000;    242.0000;    175.0000;    357.0000;;;;;      0.0000;      0.0000
      0;4000004123;21-Jul-2013 11:34:34.000;21-Jul-2013 11:34:34.000;     81.0000;    179.0000;    286.0000;    347.0000;;;;;      0.0000;      0.0000
      0;4040004115;22-Jul-2013 05:14:14.000;22-Jul-2013 06:26:14.000;    296.0000;    361.0000;    282.0000;    349.0000;;;;;      0.0000;      0.0000
      0;4190004113;22-Jul-2013 06:51:07.000;22-Jul-2013 07:31:07.000;    243.0000;    556.0000;    177.0000;    359.0000;;;;;      0.0000;      0.0000
      0;4204000003;22-Jul-2013 09:01:07.000;22-Jul-2013 09:13:07.000;    283.0000;    517.0000;    177.0000;    359.0000;;;;;      0.0000;      0.0000
      0;4042004151;22-Jul-2013 11:36:14.000;22-Jul-2013 13:25:37.000;    182.0000;    264.0000;   -462.0000;   -395.0000;;;;;      0.0000;      0.0000
      0;4204000003;22-Jul-2013 13:28:07.000;22-Jul-2013 13:40:07.000;    175.0000;    409.0000;   -563.0000;   -381.0000;;;;;      0.0000;      0.0000
      0;4190004125;22-Jul-2013 13:46:14.000;22-Jul-2013 13:59:02.000;     88.0000;    387.0000;   -566.0000;   -384.0000;;;;;      0.0000;      0.0000
      0;4204000003;22-Jul-2013 19:31:07.000;22-Jul-2013 19:43:07.000;  -1008.0000;   -774.0000;   -393.0000;   -211.0000;;;;;      0.0000;      0.0000
